# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	3.574510e-05	5.723798e-06	5.723798e-06
-2.000000e+00	-1.500000e+00	1.530624e-04	1.184432e-05	1.184432e-05
-1.500000e+00	-1.000000e+00	3.840308e-04	1.876113e-05	1.876113e-05
-1.000000e+00	-5.000000e-01	7.176518e-04	2.564679e-05	2.564679e-05
-5.000000e-01	0.000000e+00	9.000434e-04	2.872154e-05	2.872154e-05
0.000000e+00	5.000000e-01	9.614518e-04	2.968518e-05	2.968518e-05
5.000000e-01	1.000000e+00	7.368992e-04	2.598843e-05	2.598843e-05
1.000000e+00	1.500000e+00	3.913632e-04	1.893939e-05	1.893939e-05
1.500000e+00	2.000000e+00	1.475631e-04	1.162961e-05	1.162961e-05
2.000000e+00	2.500000e+00	4.491052e-05	6.415790e-06	6.415790e-06
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	7.229178e-05	9.930039e-06	9.930039e-06
-2.000000e+00	-1.500000e+00	2.250592e-04	1.752084e-05	1.752084e-05
-1.500000e+00	-1.000000e+00	4.896744e-04	2.584403e-05	2.584403e-05
-1.000000e+00	-5.000000e-01	6.574460e-04	2.994584e-05	2.994584e-05
-5.000000e-01	0.000000e+00	8.088494e-04	3.321547e-05	3.321547e-05
0.000000e+00	5.000000e-01	8.606812e-04	3.426318e-05	3.426318e-05
5.000000e-01	1.000000e+00	7.501976e-04	3.198854e-05	3.198854e-05
1.000000e+00	1.500000e+00	4.692146e-04	2.529836e-05	2.529836e-05
1.500000e+00	2.000000e+00	2.414272e-04	1.814678e-05	1.814678e-05
2.000000e+00	2.500000e+00	7.774776e-05	1.029794e-05	1.029794e-05
# END HISTO1D

