# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	3.360650e-07	7.164932e-08	7.164932e-08
9.000000e+01	1.200000e+02	7.179573e-07	1.047248e-07	1.047248e-07
1.200000e+02	1.500000e+02	2.459386e-06	1.938268e-07	1.938268e-07
1.500000e+02	1.800000e+02	4.048057e-06	2.486702e-07	2.486702e-07
1.800000e+02	2.100000e+02	6.064447e-06	3.043659e-07	3.043659e-07
2.100000e+02	2.400000e+02	7.026817e-06	3.276270e-07	3.276270e-07
2.400000e+02	2.700000e+02	7.607293e-06	3.408910e-07	3.408910e-07
2.700000e+02	3.000000e+02	6.721303e-06	3.204255e-07	3.204255e-07
3.000000e+02	3.300000e+02	6.095000e-06	3.051316e-07	3.051316e-07
3.300000e+02	3.600000e+02	4.811840e-06	2.711166e-07	2.711166e-07
3.600000e+02	3.900000e+02	4.903497e-06	2.736864e-07	2.736864e-07
3.900000e+02	4.200000e+02	4.292467e-06	2.560672e-07	2.560672e-07
4.200000e+02	4.500000e+02	3.803647e-06	2.410463e-07	2.410463e-07
4.500000e+02	4.800000e+02	2.887105e-06	2.100060e-07	2.100060e-07
4.800000e+02	5.100000e+02	2.306629e-06	1.877108e-07	1.877108e-07
5.100000e+02	5.400000e+02	1.848358e-06	1.680326e-07	1.680326e-07
5.400000e+02	5.700000e+02	1.328985e-06	1.424821e-07	1.424821e-07
5.700000e+02	6.000000e+02	1.497017e-06	1.512216e-07	1.512216e-07
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_1
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.591328e-07	6.014656e-08	6.014656e-08
6.000000e+01	9.000000e+01	1.864127e-06	2.058584e-07	2.058584e-07
9.000000e+01	1.200000e+02	6.638113e-06	3.884662e-07	3.884662e-07
1.200000e+02	1.500000e+02	1.111657e-05	5.027084e-07	5.027084e-07
1.500000e+02	1.800000e+02	1.191223e-05	5.203881e-07	5.203881e-07
1.800000e+02	2.100000e+02	9.684370e-06	4.692093e-07	4.692093e-07
2.100000e+02	2.400000e+02	7.547443e-06	4.142197e-07	4.142197e-07
2.400000e+02	2.700000e+02	6.092513e-06	3.721595e-07	3.721595e-07
2.700000e+02	3.000000e+02	4.819450e-06	3.310013e-07	3.310013e-07
3.000000e+02	3.300000e+02	3.000791e-06	2.611853e-07	2.611853e-07
3.300000e+02	3.600000e+02	2.887124e-06	2.561909e-07	2.561909e-07
