# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.582706e-08	4.582707e-08	4.582707e-08
1.000000e+01	2.000000e+01	2.749624e-07	1.122529e-07	1.122529e-07
2.000000e+01	3.000000e+01	1.374812e-07	7.937480e-08	7.937480e-08
3.000000e+01	4.000000e+01	4.582706e-07	1.449179e-07	1.449179e-07
4.000000e+01	5.000000e+01	8.248871e-07	1.944278e-07	1.944278e-07
5.000000e+01	6.000000e+01	8.707142e-07	1.997555e-07	1.997555e-07
6.000000e+01	7.000000e+01	8.707142e-07	1.997555e-07	1.997555e-07
7.000000e+01	8.000000e+01	1.374812e-06	2.510052e-07	2.510052e-07
8.000000e+01	9.000000e+01	1.741428e-06	2.824970e-07	2.824970e-07
9.000000e+01	1.000000e+02	1.695601e-06	2.787551e-07	2.787551e-07
1.000000e+02	1.100000e+02	1.603947e-06	2.711166e-07	2.711166e-07
1.100000e+02	1.200000e+02	2.108045e-06	3.108143e-07	3.108143e-07
1.200000e+02	1.300000e+02	1.878910e-06	2.934364e-07	2.934364e-07
1.300000e+02	1.400000e+02	1.512293e-06	2.632564e-07	2.632564e-07
1.400000e+02	1.500000e+02	1.649774e-06	2.749624e-07	2.749624e-07
1.500000e+02	1.600000e+02	1.558120e-06	2.672154e-07	2.672154e-07
1.600000e+02	1.700000e+02	1.328985e-06	2.467863e-07	2.467863e-07
1.700000e+02	1.800000e+02	1.191504e-06	2.336731e-07	2.336731e-07
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_mll
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.045994e-07	1.181255e-07	1.181255e-07
1.000000e+01	2.000000e+01	6.137981e-07	2.045994e-07	2.045994e-07
2.000000e+01	3.000000e+01	9.547970e-07	2.551802e-07	2.551802e-07
3.000000e+01	4.000000e+01	8.865972e-07	2.458978e-07	2.458978e-07
4.000000e+01	5.000000e+01	1.022997e-06	2.641366e-07	2.641366e-07
5.000000e+01	6.000000e+01	1.636795e-06	3.341094e-07	3.341094e-07
6.000000e+01	7.000000e+01	2.727991e-06	4.313333e-07	4.313333e-07
7.000000e+01	8.000000e+01	1.909594e-06	3.608793e-07	3.608793e-07
8.000000e+01	9.000000e+01	2.796191e-06	4.366917e-07	4.366917e-07
9.000000e+01	1.000000e+02	1.636795e-06	3.341094e-07	3.341094e-07
1.000000e+02	1.100000e+02	3.000791e-06	4.523862e-07	4.523862e-07
1.100000e+02	1.200000e+02	2.864391e-06	4.419852e-07	4.419852e-07
1.200000e+02	1.300000e+02	2.386993e-06	4.034754e-07	4.034754e-07
1.300000e+02	1.400000e+02	1.909594e-06	3.608793e-07	3.608793e-07
1.400000e+02	1.500000e+02	2.250593e-06	3.917780e-07	3.917780e-07
1.500000e+02	1.600000e+02	1.909594e-06	3.608793e-07	3.608793e-07
1.600000e+02	1.700000e+02	2.182393e-06	3.857962e-07	3.857962e-07
1.700000e+02	1.800000e+02	1.568595e-06	3.270746e-07	3.270746e-07
# END HISTO1D

