# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	5.499245e-08	1.122529e-08	1.122529e-08
4.000000e+02	6.000000e+02	5.201370e-07	3.452272e-08	3.452272e-08
6.000000e+02	8.000000e+02	1.927028e-06	6.644925e-08	6.644925e-08
8.000000e+02	1.000000e+03	3.787607e-06	9.315978e-08	9.315978e-08
1.000000e+03	1.200000e+03	5.132630e-06	1.084466e-07	1.084466e-07
1.200000e+03	1.400000e+03	4.722478e-06	1.040234e-07	1.040234e-07
1.400000e+03	1.600000e+03	2.944389e-06	8.213790e-08	8.213790e-08
1.600000e+03	1.800000e+03	1.615404e-06	6.083963e-08	6.083963e-08
1.800000e+03	2.000000e+03	9.967385e-07	4.778996e-08	4.778996e-08
2.000000e+03	2.200000e+03	5.247200e-07	3.467446e-08	3.467446e-08
2.200000e+03	2.400000e+03	2.703796e-07	2.489047e-08	2.489047e-08
2.400000e+03	2.600000e+03	1.649774e-07	1.944278e-08	1.944278e-08
2.600000e+03	2.800000e+03	9.852820e-08	1.502541e-08	1.502541e-08
2.800000e+03	3.000000e+03	4.353571e-08	9.987776e-09	9.987776e-09
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	3.409989e-09	3.409989e-09	3.409989e-09
2.000000e+02	4.000000e+02	6.683580e-07	4.773985e-08	4.773985e-08
4.000000e+02	6.000000e+02	4.913794e-06	1.294449e-07	1.294449e-07
6.000000e+02	8.000000e+02	9.166050e-06	1.767940e-07	1.767940e-07
8.000000e+02	1.000000e+03	7.877075e-06	1.638925e-07	1.638925e-07
1.000000e+03	1.200000e+03	4.896745e-06	1.292202e-07	1.292202e-07
1.200000e+03	1.400000e+03	2.932591e-06	1.000005e-07	1.000005e-07
1.400000e+03	1.600000e+03	1.612925e-06	7.416237e-08	7.416237e-08
1.600000e+03	1.800000e+03	9.275170e-07	5.623898e-08	5.623898e-08
1.800000e+03	2.000000e+03	5.285485e-07	4.245403e-08	4.245403e-08
2.000000e+03	2.200000e+03	2.455192e-07	2.893472e-08	2.893472e-08
2.200000e+03	2.400000e+03	1.670895e-07	2.386992e-08	2.386992e-08
2.400000e+03	2.600000e+03	6.819980e-08	1.524994e-08	1.524994e-08
2.600000e+03	2.800000e+03	3.750988e-08	1.130966e-08	1.130966e-08
2.800000e+03	3.000000e+03	2.727991e-08	9.644907e-09	9.644907e-09
# END HISTO1D

