# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	7.607292e-07	8.350087e-08	8.350087e-08
1.000000e+02	1.500000e+02	4.454390e-06	2.020552e-07	2.020552e-07
1.500000e+02	2.000000e+02	1.016444e-05	3.052234e-07	3.052234e-07
2.000000e+02	2.500000e+02	1.404141e-05	3.587413e-07	3.587413e-07
2.500000e+02	3.000000e+02	1.430721e-05	3.621208e-07	3.621208e-07
3.000000e+02	3.500000e+02	1.150259e-05	3.246937e-07	3.246937e-07
3.500000e+02	4.000000e+02	9.458706e-06	2.944366e-07	2.944366e-07
4.000000e+02	4.500000e+02	7.900586e-06	2.690950e-07	2.690950e-07
4.500000e+02	5.000000e+02	5.957518e-06	2.336731e-07	2.336731e-07
5.000000e+02	5.500000e+02	3.757820e-06	1.855855e-07	1.855855e-07
5.500000e+02	6.000000e+02	2.758790e-06	1.590140e-07	1.590140e-07
6.000000e+02	6.500000e+02	1.695601e-06	1.246631e-07	1.246631e-07
6.500000e+02	7.000000e+02	1.356481e-06	1.115021e-07	1.115021e-07
7.000000e+02	7.500000e+02	8.707142e-07	8.933340e-08	8.933340e-08
7.500000e+02	8.000000e+02	6.140826e-07	7.502213e-08	7.502213e-08
8.000000e+02	8.500000e+02	4.857668e-07	6.672520e-08	6.672520e-08
8.500000e+02	9.000000e+02	3.574510e-07	5.723798e-08	5.723798e-08
9.000000e+02	9.500000e+02	3.024586e-07	5.265129e-08	5.265129e-08
9.500000e+02	1.000000e+03	2.016390e-07	4.298959e-08	4.298959e-08
1.000000e+03	1.050000e+03	1.649774e-07	3.888555e-08	3.888555e-08
1.050000e+03	1.100000e+03	1.008195e-07	3.039824e-08	3.039824e-08
1.100000e+03	1.150000e+03	1.008195e-07	3.039824e-08	3.039824e-08
1.150000e+03	1.200000e+03	5.499248e-08	2.245059e-08	2.245059e-08
1.200000e+03	1.250000e+03	7.332330e-08	2.592370e-08	2.592370e-08
1.250000e+03	1.300000e+03	5.499248e-08	2.245059e-08	2.245059e-08
1.300000e+03	1.350000e+03	2.749624e-08	1.587496e-08	1.587496e-08
1.350000e+03	1.400000e+03	1.833082e-08	1.296185e-08	1.296185e-08
1.400000e+03	1.450000e+03	2.749624e-08	1.587496e-08	1.587496e-08
1.450000e+03	1.500000e+03	3.666164e-08	1.833082e-08	1.833082e-08
1.500000e+03	1.550000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+03	1.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+03	1.650000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+03	1.700000e+03	9.165412e-09	9.165413e-09	9.165413e-09
1.700000e+03	1.750000e+03	9.165412e-09	9.165413e-09	9.165413e-09
1.750000e+03	1.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+03	1.850000e+03	9.165412e-09	9.165413e-09	9.165413e-09
