# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100000_13000GeV_472346/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_mu0Pt_15GeV_2
ScaledBy=1.00000000000008800e-04
Title=ttH(tt) 1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	1.050967e-05	4.006775e-07	4.006775e-07
3.000000e+01	6.000000e+01	1.883492e-05	5.363920e-07	5.363920e-07
6.000000e+01	9.000000e+01	1.273992e-05	4.411475e-07	4.411475e-07
9.000000e+01	1.200000e+02	8.157217e-06	3.529973e-07	3.529973e-07
1.200000e+02	1.500000e+02	5.758933e-06	2.966002e-07	2.966002e-07
1.500000e+02	1.800000e+02	4.491053e-06	2.619235e-07	2.619235e-07
1.800000e+02	2.100000e+02	2.932932e-06	2.116661e-07	2.116661e-07
2.100000e+02	2.400000e+02	2.153872e-06	1.813887e-07	1.813887e-07
2.400000e+02	2.700000e+02	1.283158e-06	1.400040e-07	1.400040e-07
2.700000e+02	3.000000e+02	1.023471e-06	1.250369e-07	1.250369e-07
3.000000e+02	3.300000e+02	5.957517e-07	9.539663e-08	9.539663e-08
3.300000e+02	3.600000e+02	5.346490e-07	9.037219e-08	9.037219e-08
3.600000e+02	3.900000e+02	3.513407e-07	7.325962e-08	7.325962e-08
3.900000e+02	4.200000e+02	3.055137e-07	6.831495e-08	6.831495e-08
4.200000e+02	4.500000e+02	4.582707e-08	2.645827e-08	2.645827e-08
4.500000e+02	4.800000e+02	1.374812e-07	4.582707e-08	4.582707e-08
4.800000e+02	5.100000e+02	1.069298e-07	4.041567e-08	4.041567e-08
5.100000e+02	5.400000e+02	9.165413e-08	3.741764e-08	3.741764e-08
5.400000e+02	5.700000e+02	6.110273e-08	3.055137e-08	3.055137e-08
5.700000e+02	6.000000e+02	3.055137e-08	2.160308e-08	2.160308e-08
6.000000e+02	6.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
