# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop4_zoomin
ScaledBy=9.99999999999935673e-05
Title=ttH(tt) 1.1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
1.650000e+02	1.652500e+02	1.046438e-05	3.309129e-06	3.309129e-06
1.652500e+02	1.655000e+02	1.569658e-05	4.052839e-06	4.052839e-06
1.655000e+02	1.657500e+02	1.255726e-05	3.624969e-06	3.624969e-06
1.657500e+02	1.660000e+02	1.569658e-05	4.052839e-06	4.052839e-06
1.660000e+02	1.662500e+02	1.778946e-05	4.314576e-06	4.314576e-06
1.662500e+02	1.665000e+02	1.778946e-05	4.314576e-06	4.314576e-06
1.665000e+02	1.667500e+02	1.465014e-05	3.915414e-06	3.915414e-06
1.667500e+02	1.670000e+02	2.092877e-05	4.679815e-06	4.679815e-06
1.670000e+02	1.672500e+02	3.139316e-05	5.731580e-06	5.731580e-06
1.672500e+02	1.675000e+02	2.616096e-05	5.232193e-06	5.232193e-06
1.675000e+02	1.677500e+02	3.453247e-05	6.011332e-06	6.011332e-06
1.677500e+02	1.680000e+02	2.616096e-05	5.232193e-06	5.232193e-06
1.680000e+02	1.682500e+02	2.616096e-05	5.232193e-06	5.232193e-06
1.682500e+02	1.685000e+02	5.650768e-05	7.689721e-06	7.689721e-06
1.685000e+02	1.687500e+02	4.918260e-05	7.174021e-06	7.174021e-06
1.687500e+02	1.690000e+02	5.650768e-05	7.689721e-06	7.689721e-06
1.690000e+02	1.692500e+02	7.115780e-05	8.629152e-06	8.629152e-06
1.692500e+02	1.695000e+02	7.848288e-05	9.062423e-06	9.062423e-06
1.695000e+02	1.697500e+02	1.035974e-04	1.041193e-05	1.041193e-05
1.697500e+02	1.700000e+02	1.276655e-04	1.155829e-05	1.155829e-05
1.700000e+02	1.702500e+02	1.527800e-04	1.264416e-05	1.264416e-05
