# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100001_13000GeV_447376/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
ScaledBy=9.99999999999935673e-05
Title=ttH(tt) 1.1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	8.319186e-05	6.597545e-06	6.597545e-06
-3.000000e+00	-2.500000e+00	2.987582e-04	1.250264e-05	1.250264e-05
-2.500000e+00	-2.000000e+00	3.364300e-04	1.326750e-05	1.326750e-05
-2.000000e+00	-1.500000e+00	3.228262e-04	1.299650e-05	1.299650e-05
-1.500000e+00	-1.000000e+00	3.181172e-04	1.290136e-05	1.290136e-05
-1.000000e+00	-5.000000e-01	3.385228e-04	1.330871e-05	1.330871e-05
-5.000000e-01	0.000000e+00	3.416622e-04	1.337027e-05	1.337027e-05
0.000000e+00	5.000000e-01	3.364300e-04	1.326750e-05	1.326750e-05
5.000000e-01	1.000000e+00	3.489872e-04	1.351284e-05	1.351284e-05
1.000000e+00	1.500000e+00	3.181172e-04	1.290136e-05	1.290136e-05
1.500000e+00	2.000000e+00	3.024208e-04	1.257904e-05	1.257904e-05
2.000000e+00	2.500000e+00	3.437550e-04	1.341116e-05	1.341116e-05
2.500000e+00	3.000000e+00	3.228262e-04	1.299650e-05	1.299650e-05
3.000000e+00	3.500000e+00	1.020278e-04	7.306359e-06	7.306359e-06
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Phi_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	2.155114e-04	1.714516e-05	1.714516e-05
-3.000000e+00	-2.500000e+00	6.738138e-04	3.031632e-05	3.031632e-05
-2.500000e+00	-2.000000e+00	6.874538e-04	3.062163e-05	3.062163e-05
-2.000000e+00	-1.500000e+00	6.601740e-04	3.000791e-05	3.000791e-05
-1.500000e+00	-1.000000e+00	6.683580e-04	3.019333e-05	3.019333e-05
-1.000000e+00	-5.000000e-01	6.642660e-04	3.010076e-05	3.010076e-05
-5.000000e-01	0.000000e+00	6.765418e-04	3.037763e-05	3.037763e-05
0.000000e+00	5.000000e-01	6.165260e-04	2.899894e-05	2.899894e-05
5.000000e-01	1.000000e+00	6.738138e-04	3.031632e-05	3.031632e-05
1.000000e+00	1.500000e+00	6.260740e-04	2.922264e-05	2.922264e-05
1.500000e+00	2.000000e+00	7.133698e-04	3.119348e-05	3.119348e-05
2.000000e+00	2.500000e+00	6.956378e-04	3.080336e-05	3.080336e-05
2.500000e+00	3.000000e+00	6.615380e-04	3.003889e-05	3.003889e-05
3.000000e+00	3.500000e+00	1.936874e-04	1.625388e-05	1.625388e-05
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

