# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ScaledBy=1.00000000000008014e-04
Title=ttH(tt) 1.2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	1.759090e-08	3.933443e-09	3.933443e-09
4.000000e+02	6.000000e+02	1.495226e-07	1.146786e-08	1.146786e-08
6.000000e+02	8.000000e+02	4.591223e-07	2.009524e-08	2.009524e-08
8.000000e+02	1.000000e+03	9.657400e-07	2.914467e-08	2.914467e-08
1.000000e+03	1.200000e+03	1.447731e-06	3.568394e-08	3.568394e-08
1.200000e+03	1.400000e+03	1.794271e-06	3.972583e-08	3.972583e-08
1.400000e+03	1.600000e+03	1.508419e-06	3.642420e-08	3.642420e-08
1.600000e+03	1.800000e+03	1.006199e-06	2.974890e-08	2.974890e-08
1.800000e+03	2.000000e+03	5.945720e-07	2.286816e-08	2.286816e-08
2.000000e+03	2.200000e+03	3.439020e-07	1.739187e-08	1.739187e-08
2.200000e+03	2.400000e+03	2.260430e-07	1.410017e-08	1.410017e-08
2.400000e+03	2.600000e+03	1.081840e-07	9.754622e-09	9.754622e-09
2.600000e+03	2.800000e+03	6.772495e-08	7.717974e-09	7.717974e-09
2.800000e+03	3.000000e+03	4.309769e-08	6.156813e-09	6.156813e-09
3.000000e+03	3.200000e+03	2.462725e-08	4.654113e-09	4.654113e-09
3.200000e+03	3.400000e+03	1.759090e-08	3.933443e-09	3.933443e-09
3.400000e+03	3.600000e+03	8.795445e-09	2.781365e-09	2.781365e-09
3.600000e+03	3.800000e+03	7.036360e-09	2.487728e-09	2.487728e-09
3.800000e+03	4.000000e+03	1.759090e-09	1.243864e-09	1.243864e-09
4.000000e+03	4.200000e+03	8.795445e-10	8.795448e-10	8.795448e-10
4.200000e+03	4.400000e+03	8.795445e-10	8.795448e-10	8.795448e-10
4.400000e+03	4.600000e+03	8.795445e-10	8.795448e-10	8.795448e-10
4.600000e+03	4.800000e+03	8.795445e-10	8.795448e-10	8.795448e-10
