# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100002_13000GeV_410192/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt_15GeV_2
ScaledBy=1.00000000000008014e-04
Title=ttH(tt) 1.2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	5.347633e-06	1.770778e-07	1.770778e-07
3.000000e+01	6.000000e+01	1.019099e-05	2.444508e-07	2.444508e-07
6.000000e+01	9.000000e+01	7.863130e-06	2.147242e-07	2.147242e-07
9.000000e+01	1.200000e+02	5.840177e-06	1.850531e-07	1.850531e-07
1.200000e+02	1.500000e+02	4.321497e-06	1.591843e-07	1.591843e-07
1.500000e+02	1.800000e+02	3.371587e-06	1.406049e-07	1.406049e-07
1.800000e+02	2.100000e+02	2.339589e-06	1.171260e-07	1.171260e-07
2.100000e+02	2.400000e+02	1.782544e-06	1.022359e-07	1.022359e-07
2.400000e+02	2.700000e+02	1.213772e-06	8.436297e-08	8.436297e-08
2.700000e+02	3.000000e+02	1.002681e-06	7.667693e-08	7.667693e-08
3.000000e+02	3.300000e+02	7.212267e-07	6.503081e-08	6.503081e-08
3.300000e+02	3.600000e+02	5.980903e-07	5.921977e-08	5.921977e-08
3.600000e+02	3.900000e+02	3.869997e-07	4.763637e-08	4.763637e-08
3.900000e+02	4.200000e+02	2.345453e-07	3.708486e-08	3.708486e-08
4.200000e+02	4.500000e+02	1.876362e-07	3.316971e-08	3.316971e-08
4.500000e+02	4.800000e+02	1.700453e-07	3.157662e-08	3.157662e-08
4.800000e+02	5.100000e+02	9.968173e-08	2.417637e-08	2.417637e-08
5.100000e+02	5.400000e+02	7.036357e-08	2.031222e-08	2.031222e-08
5.400000e+02	5.700000e+02	7.036357e-08	2.031222e-08	2.031222e-08
5.700000e+02	6.000000e+02	3.518180e-08	1.436290e-08	1.436290e-08
6.000000e+02	6.300000e+02	1.759089e-08	1.015611e-08	1.015611e-08
6.300000e+02	6.600000e+02	1.759089e-08	1.015611e-08	1.015611e-08
