# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100003_13000GeV_147446/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100003_13000GeV_147446/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100003_13000GeV_147446/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100003_13000GeV_147446/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100003_13000GeV_147446/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
ScaledBy=9.99999999999621661e-05
Title=ttH(tt) 1.3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	4.306140e-08	1.014967e-08	1.014967e-08
1.000000e+02	1.500000e+02	2.703298e-07	2.543049e-08	2.543049e-08
1.500000e+02	2.000000e+02	6.650592e-07	3.988761e-08	3.988761e-08
2.000000e+02	2.500000e+02	1.033473e-06	4.972301e-08	4.972301e-08
2.500000e+02	3.000000e+02	1.200934e-06	5.360032e-08	5.360032e-08
3.000000e+02	3.500000e+02	1.138735e-06	5.219382e-08	5.219382e-08
3.500000e+02	4.000000e+02	1.186581e-06	5.327904e-08	5.327904e-08
4.000000e+02	4.500000e+02	1.169835e-06	5.290175e-08	5.290175e-08
4.500000e+02	5.000000e+02	1.138735e-06	5.219382e-08	5.219382e-08
5.000000e+02	5.500000e+02	9.640968e-07	4.802508e-08	4.802508e-08
5.500000e+02	6.000000e+02	8.325202e-07	4.462777e-08	4.462777e-08
6.000000e+02	6.500000e+02	6.219978e-07	3.857467e-08	3.857467e-08
6.500000e+02	7.000000e+02	4.664984e-07	3.340665e-08	3.340665e-08
7.000000e+02	7.500000e+02	3.875526e-07	3.044900e-08	3.044900e-08
7.500000e+02	8.000000e+02	2.703298e-07	2.543049e-08	2.543049e-08
8.000000e+02	8.500000e+02	1.794225e-07	2.071792e-08	2.071792e-08
8.500000e+02	9.000000e+02	1.243996e-07	1.725112e-08	1.725112e-08
9.000000e+02	9.500000e+02	7.176898e-08	1.310316e-08	1.310316e-08
9.500000e+02	1.000000e+03	6.219978e-08	1.219838e-08	1.219838e-08
1.000000e+03	1.050000e+03	4.545370e-08	1.042779e-08	1.042779e-08
1.050000e+03	1.100000e+03	1.435380e-08	5.859913e-09	5.859913e-09
1.100000e+03	1.150000e+03	3.588450e-08	9.265338e-09	9.265338e-09
1.150000e+03	1.200000e+03	1.674610e-08	6.329430e-09	6.329430e-09
1.200000e+03	1.250000e+03	1.435380e-08	5.859913e-09	5.859913e-09
1.250000e+03	1.300000e+03	1.435380e-08	5.859913e-09	5.859913e-09
1.300000e+03	1.350000e+03	4.784600e-09	3.383223e-09	3.383223e-09
1.350000e+03	1.400000e+03	7.176898e-09	4.143584e-09	4.143584e-09
1.400000e+03	1.450000e+03	2.392300e-09	2.392299e-09	2.392299e-09
1.450000e+03	1.500000e+03	7.176898e-09	4.143584e-09	4.143584e-09
1.500000e+03	1.550000e+03	2.392300e-09	2.392299e-09	2.392299e-09
1.550000e+03	1.600000e+03	2.392300e-09	2.392299e-09	2.392299e-09
1.600000e+03	1.650000e+03	2.392300e-09	2.392299e-09	2.392299e-09
1.650000e+03	1.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+03	1.750000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+03	1.800000e+03	2.392300e-09	2.392299e-09	2.392299e-09
1.800000e+03	1.850000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+03	1.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+03	1.950000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+03	2.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Pt_2
ErrorBars=1
LineColor=blue
