# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100007_13000GeV_271516/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100007_13000GeV_271516/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100007_13000GeV_271516/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100007_13000GeV_271516/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100007_13000GeV_271516/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ScaledBy=1.00000000000006889e-04
Title=ttH(tt) 1.7 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	1.200999e-10	1.200999e-10	1.200999e-10
2.000000e+02	4.000000e+02	5.644695e-09	8.233632e-10	8.233632e-10
4.000000e+02	6.000000e+02	2.978476e-08	1.891334e-09	1.891334e-09
6.000000e+02	8.000000e+02	6.029015e-08	2.690880e-09	2.690880e-09
8.000000e+02	1.000000e+03	8.539100e-08	3.202413e-09	3.202413e-09
1.000000e+03	1.200000e+03	1.310289e-07	3.966933e-09	3.966933e-09
1.200000e+03	1.400000e+03	1.636961e-07	4.433946e-09	4.433946e-09
1.400000e+03	1.600000e+03	1.741448e-07	4.573266e-09	4.573266e-09
1.600000e+03	1.800000e+03	1.669388e-07	4.477648e-09	4.477648e-09
1.800000e+03	2.000000e+03	1.467620e-07	4.198345e-09	4.198345e-09
2.000000e+03	2.200000e+03	1.028055e-07	3.513819e-09	3.513819e-09
2.200000e+03	2.400000e+03	5.848865e-08	2.650373e-09	2.650373e-09
2.400000e+03	2.600000e+03	3.098577e-08	1.929089e-09	1.929089e-09
2.600000e+03	2.800000e+03	1.933608e-08	1.523896e-09	1.523896e-09
2.800000e+03	3.000000e+03	9.247690e-09	1.053872e-09	1.053872e-09
3.000000e+03	3.200000e+03	6.725590e-09	8.987451e-10	8.987451e-10
3.200000e+03	3.400000e+03	3.843196e-09	6.793874e-10	6.793874e-10
3.400000e+03	3.600000e+03	2.041698e-09	4.951844e-10	4.951844e-10
3.600000e+03	3.800000e+03	1.200999e-09	3.797891e-10	3.797891e-10
3.800000e+03	4.000000e+03	1.321098e-09	3.983262e-10	3.983262e-10
4.000000e+03	4.200000e+03	3.602996e-10	2.080190e-10	2.080190e-10
4.200000e+03	4.400000e+03	2.401997e-10	1.698468e-10	1.698468e-10
4.400000e+03	4.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+03	4.800000e+03	3.602996e-10	2.080190e-10	2.080190e-10
4.800000e+03	5.000000e+03	1.200999e-10	1.200999e-10	1.200999e-10
5.000000e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+03	5.600000e+03	1.200999e-10	1.200999e-10	1.200999e-10
5.600000e+03	5.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+03	6.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	2.045994e-08	8.352733e-09	8.352733e-09
2.000000e+02	4.000000e+02	1.404915e-06	6.921523e-08	6.921523e-08
4.000000e+02	6.000000e+02	6.492620e-06	1.487944e-07	1.487944e-07
6.000000e+02	8.000000e+02	9.394520e-06	1.789839e-07	1.789839e-07
8.000000e+02	1.000000e+03	7.160980e-06	1.562653e-07	1.562653e-07
1.000000e+03	1.200000e+03	4.242027e-06	1.202716e-07	1.202716e-07
1.200000e+03	1.400000e+03	2.509752e-06	9.251069e-08	9.251069e-08
1.400000e+03	1.600000e+03	1.306026e-06	6.673481e-08	6.673481e-08
1.600000e+03	1.800000e+03	7.467875e-07	5.046323e-08	5.046323e-08
1.800000e+03	2.000000e+03	3.887388e-07	3.640872e-08	3.640872e-08
2.000000e+03	2.200000e+03	2.011894e-07	2.619262e-08	2.619262e-08
2.200000e+03	2.400000e+03	1.125297e-07	1.958890e-08	1.958890e-08
2.400000e+03	2.600000e+03	5.796980e-08	1.405975e-08	1.405975e-08
2.600000e+03	2.800000e+03	2.386993e-08	9.021984e-09	9.021984e-09
2.800000e+03	3.000000e+03	2.386993e-08	9.021984e-09	9.021984e-09
3.000000e+03	3.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+03	3.400000e+03	1.022997e-08	5.906274e-09	5.906274e-09
3.400000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.800000e+03	3.409989e-09	3.409989e-09	3.409989e-09
3.800000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+03	4.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+03	4.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+03	4.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+03	4.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+03	5.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+03	5.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
