# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100009_13000GeV_128338/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100009_13000GeV_128338/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100009_13000GeV_128338/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100009_13000GeV_128338/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100009_13000GeV_128338/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
ScaledBy=9.99999999999638331e-05
Title=ttH(tt) 1.9 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	4.221312e-05	1.803255e-06	1.803255e-06
1.666667e-01	3.333333e-01	5.715722e-05	2.098307e-06	2.098307e-06
3.333333e-01	5.000000e-01	5.584765e-05	2.074130e-06	2.074130e-06
5.000000e-01	6.666667e-01	5.731125e-05	2.101132e-06	2.101132e-06
6.666667e-01	8.333333e-01	4.367674e-05	1.834251e-06	1.834251e-06
8.333333e-01	1.000000e+00	3.343156e-05	1.604766e-06	1.604766e-06
1.000000e+00	1.166667e+00	2.488105e-05	1.384419e-06	1.384419e-06
1.166667e+00	1.333333e+00	1.764023e-05	1.165699e-06	1.165699e-06
1.333333e+00	1.500000e+00	1.478997e-05	1.067374e-06	1.067374e-06
1.500000e+00	1.666667e+00	1.163170e-05	9.465741e-07	9.465741e-07
1.666667e+00	1.833333e+00	9.628947e-06	8.612392e-07	8.612392e-07
1.833333e+00	2.000000e+00	6.778738e-06	7.226158e-07	7.226158e-07
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_deltaR_bl_min
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	6.260741e-04	5.061508e-05	5.061508e-05
1.666667e-01	3.333333e-01	6.588105e-04	5.192152e-05	5.192152e-05
3.333333e-01	5.000000e-01	8.838688e-04	6.013969e-05	6.013969e-05
5.000000e-01	6.666667e-01	1.673622e-03	8.275530e-05	8.275530e-05
6.666667e-01	8.333333e-01	1.771831e-03	8.514877e-05	8.514877e-05
8.333333e-01	1.000000e+00	1.591783e-03	8.070659e-05	8.070659e-05
1.000000e+00	1.166667e+00	1.403549e-03	7.578450e-05	7.578450e-05
1.166667e+00	1.333333e+00	1.260337e-03	7.181437e-05	7.181437e-05
1.333333e+00	1.500000e+00	1.043455e-03	6.534367e-05	6.534367e-05
1.500000e+00	1.666667e+00	7.979360e-04	5.714138e-05	5.714138e-05
1.666667e+00	1.833333e+00	6.056166e-04	4.978137e-05	4.978137e-05
1.833333e+00	2.000000e+00	5.155893e-04	4.593235e-05	4.593235e-05
# END HISTO1D

