# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ScaledBy=1.00000000000004951e-04
Title=ttH(tt) 2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.030333e-08	3.100256e-09	3.100256e-09
4.000000e+01	8.000000e+01	1.163788e-07	5.268223e-09	5.268223e-09
8.000000e+01	1.200000e+02	1.569207e-07	6.117404e-09	6.117404e-09
1.200000e+02	1.600000e+02	1.993703e-07	6.895366e-09	6.895366e-09
1.600000e+02	2.000000e+02	2.041399e-07	6.977359e-09	6.977359e-09
2.000000e+02	2.400000e+02	2.024706e-07	6.948772e-09	6.948772e-09
2.400000e+02	2.800000e+02	1.996088e-07	6.899489e-09	6.899489e-09
2.800000e+02	3.200000e+02	1.638366e-07	6.250756e-09	6.250756e-09
3.200000e+02	3.600000e+02	1.509586e-07	6.000067e-09	6.000067e-09
3.600000e+02	4.000000e+02	1.342649e-07	5.658592e-09	5.658592e-09
4.000000e+02	4.400000e+02	1.066011e-07	5.042059e-09	5.042059e-09
4.400000e+02	4.800000e+02	9.443857e-08	4.745716e-09	4.745716e-09
4.800000e+02	5.200000e+02	7.559855e-08	4.246038e-09	4.246038e-09
5.200000e+02	5.600000e+02	6.343600e-08	3.889512e-09	3.889512e-09
5.600000e+02	6.000000e+02	5.437373e-08	3.600988e-09	3.600988e-09
6.000000e+02	6.400000e+02	4.554993e-08	3.295876e-09	3.295876e-09
6.400000e+02	6.800000e+02	3.171800e-08	2.750300e-09	2.750300e-09
6.800000e+02	7.200000e+02	2.360964e-08	2.372858e-09	2.372858e-09
7.200000e+02	7.600000e+02	2.551750e-08	2.466869e-09	2.466869e-09
7.600000e+02	8.000000e+02	1.573976e-08	1.937431e-09	1.937431e-09
8.000000e+02	8.400000e+02	1.073166e-08	1.599781e-09	1.599781e-09
8.400000e+02	8.800000e+02	1.263951e-08	1.736170e-09	1.736170e-09
8.800000e+02	9.200000e+02	1.001621e-08	1.545535e-09	1.545535e-09
9.200000e+02	9.600000e+02	9.062287e-09	1.470097e-09	1.470097e-09
9.600000e+02	1.000000e+03	7.392917e-09	1.327807e-09	1.327807e-09
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+02	5.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
