# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_ttbar12
ScaledBy=1.00000000000004951e-04
Title=ttH(tt) 2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.626535e-08	3.321659e-09	3.321659e-09
4.000000e+01	8.000000e+01	1.206715e-07	5.364503e-09	5.364503e-09
8.000000e+01	1.200000e+02	1.805303e-07	6.561485e-09	6.561485e-09
1.200000e+02	1.600000e+02	2.127253e-07	7.122568e-09	7.122568e-09
1.600000e+02	2.000000e+02	2.153486e-07	7.166351e-09	7.166351e-09
2.000000e+02	2.400000e+02	2.086711e-07	7.054370e-09	7.054370e-09
2.400000e+02	2.800000e+02	2.067632e-07	7.022047e-09	7.022047e-09
2.800000e+02	3.200000e+02	1.829151e-07	6.604682e-09	6.604682e-09
3.200000e+02	3.600000e+02	1.593055e-07	6.163713e-09	6.163713e-09
3.600000e+02	4.000000e+02	1.445196e-07	5.870709e-09	5.870709e-09
4.000000e+02	4.400000e+02	1.323571e-07	5.618245e-09	5.618245e-09
4.400000e+02	4.800000e+02	1.039778e-07	4.979634e-09	4.979634e-09
4.800000e+02	5.200000e+02	9.062288e-08	4.648855e-09	4.648855e-09
5.200000e+02	5.600000e+02	6.963653e-08	4.075169e-09	4.075169e-09
5.600000e+02	6.000000e+02	6.319753e-08	3.882193e-09	3.882193e-09
6.000000e+02	6.400000e+02	5.246587e-08	3.537248e-09	3.537248e-09
6.400000e+02	6.800000e+02	4.054180e-08	3.109415e-09	3.109415e-09
6.800000e+02	7.200000e+02	3.028713e-08	2.687547e-09	2.687547e-09
7.200000e+02	7.600000e+02	2.408660e-08	2.396707e-09	2.396707e-09
7.600000e+02	8.000000e+02	1.955546e-08	2.159539e-09	2.159539e-09
8.000000e+02	8.400000e+02	1.693217e-08	2.009479e-09	2.009479e-09
