# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100010_13000GeV_446900/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ScaledBy=1.00000000000004951e-04
Title=ttH(tt) 2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	1.001621e-09	2.185717e-10	2.185717e-10
4.000000e+02	6.000000e+02	8.346845e-09	6.309620e-10	6.309620e-10
6.000000e+02	8.000000e+02	1.821997e-08	9.322146e-10	9.322146e-10
8.000000e+02	1.000000e+03	2.914241e-08	1.178976e-09	1.178976e-09
1.000000e+03	1.200000e+03	3.481826e-08	1.288682e-09	1.288682e-09
1.200000e+03	1.400000e+03	4.011255e-08	1.383191e-09	1.383191e-09
1.400000e+03	1.600000e+03	4.779164e-08	1.509795e-09	1.509795e-09
1.600000e+03	1.800000e+03	5.093960e-08	1.558726e-09	1.558726e-09
1.800000e+03	2.000000e+03	5.723550e-08	1.652246e-09	1.652246e-09
2.000000e+03	2.200000e+03	5.523225e-08	1.623074e-09	1.623074e-09
2.200000e+03	2.400000e+03	4.736237e-08	1.502999e-09	1.502999e-09
2.400000e+03	2.600000e+03	3.376894e-08	1.269115e-09	1.269115e-09
2.600000e+03	2.800000e+03	1.960316e-08	9.669524e-10	9.669524e-10
2.800000e+03	3.000000e+03	1.349804e-08	8.023751e-10	8.023751e-10
3.000000e+03	3.200000e+03	7.345220e-09	5.918948e-10	5.918948e-10
3.200000e+03	3.400000e+03	5.294285e-09	5.025112e-10	5.025112e-10
3.400000e+03	3.600000e+03	2.670990e-09	3.569260e-10	3.569260e-10
3.600000e+03	3.800000e+03	1.812457e-09	2.940194e-10	2.940194e-10
3.800000e+03	4.000000e+03	1.430888e-09	2.612431e-10	2.612431e-10
4.000000e+03	4.200000e+03	7.154435e-10	1.847268e-10	1.847268e-10
4.200000e+03	4.400000e+03	2.861775e-10	1.168315e-10	1.168315e-10
4.400000e+03	4.600000e+03	4.769624e-11	4.769625e-11	4.769625e-11
4.600000e+03	4.800000e+03	9.539250e-11	6.745269e-11	6.745269e-11
4.800000e+03	5.000000e+03	4.769624e-11	4.769625e-11	4.769625e-11
5.000000e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.400000e+03	9.539250e-11	6.745269e-11	6.745269e-11
5.400000e+03	5.600000e+03	4.769624e-11	4.769625e-11	4.769625e-11
5.600000e+03	5.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+03	6.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_2
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	3.409989e-09	3.409989e-09	3.409989e-09
2.000000e+02	4.000000e+02	6.683580e-07	4.773985e-08	4.773985e-08
4.000000e+02	6.000000e+02	4.913794e-06	1.294449e-07	1.294449e-07
6.000000e+02	8.000000e+02	9.166050e-06	1.767940e-07	1.767940e-07
8.000000e+02	1.000000e+03	7.877075e-06	1.638925e-07	1.638925e-07
1.000000e+03	1.200000e+03	4.896745e-06	1.292202e-07	1.292202e-07
1.200000e+03	1.400000e+03	2.932591e-06	1.000005e-07	1.000005e-07
1.400000e+03	1.600000e+03	1.612925e-06	7.416237e-08	7.416237e-08
1.600000e+03	1.800000e+03	9.275170e-07	5.623898e-08	5.623898e-08
1.800000e+03	2.000000e+03	5.285485e-07	4.245403e-08	4.245403e-08
2.000000e+03	2.200000e+03	2.455192e-07	2.893472e-08	2.893472e-08
2.200000e+03	2.400000e+03	1.670895e-07	2.386992e-08	2.386992e-08
2.400000e+03	2.600000e+03	6.819980e-08	1.524994e-08	1.524994e-08
2.600000e+03	2.800000e+03	3.750988e-08	1.130966e-08	1.130966e-08
2.800000e+03	3.000000e+03	2.727991e-08	9.644907e-09	9.644907e-09
3.000000e+03	3.200000e+03	6.819980e-09	4.822453e-09	4.822453e-09
3.200000e+03	3.400000e+03	1.704994e-08	7.624967e-09	7.624967e-09
3.400000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
