# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100011_13000GeV_267716/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100011_13000GeV_267716/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100011_13000GeV_267716/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100011_13000GeV_267716/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100011_13000GeV_267716/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
ScaledBy=9.99999999999890679e-05
Title=ttH(tt) 2.1 TeV
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.520000e+02	2.856048e-08	1.009766e-08	1.009766e-08
1.520000e+02	1.540000e+02	4.998085e-08	1.335794e-08	1.335794e-08
1.540000e+02	1.560000e+02	4.641078e-08	1.287204e-08	1.287204e-08
1.560000e+02	1.580000e+02	4.641078e-08	1.287204e-08	1.287204e-08
1.580000e+02	1.600000e+02	7.497125e-08	1.636007e-08	1.636007e-08
1.600000e+02	1.620000e+02	8.925150e-08	1.785030e-08	1.785030e-08
1.620000e+02	1.640000e+02	1.713629e-07	2.473410e-08	2.473410e-08
1.640000e+02	1.660000e+02	2.748946e-07	3.132715e-08	3.132715e-08
1.660000e+02	1.680000e+02	6.140505e-07	4.682090e-08	4.682090e-08
1.680000e+02	1.700000e+02	2.034934e-06	8.523402e-08	8.523402e-08
1.700000e+02	1.720000e+02	1.382684e-05	2.221771e-07	2.221771e-07
1.720000e+02	1.740000e+02	1.440876e-05	2.268042e-07	2.268042e-07
1.740000e+02	1.760000e+02	2.063495e-06	8.583006e-08	8.583006e-08
1.760000e+02	1.780000e+02	6.854515e-07	4.946820e-08	4.946820e-08
1.780000e+02	1.800000e+02	3.891365e-07	3.727252e-08	3.727252e-08
1.800000e+02	1.820000e+02	2.677545e-07	3.091763e-08	3.091763e-08
1.820000e+02	1.840000e+02	1.499425e-07	2.313663e-08	2.313663e-08
1.840000e+02	1.860000e+02	1.356623e-07	2.200733e-08	2.200733e-08
1.860000e+02	1.880000e+02	8.925150e-08	1.785030e-08	1.785030e-08
1.880000e+02	1.900000e+02	8.925150e-08	1.785030e-08	1.785030e-08
1.900000e+02	1.920000e+02	1.035317e-07	1.922536e-08	1.922536e-08
1.920000e+02	1.940000e+02	4.998085e-08	1.335794e-08	1.335794e-08
1.940000e+02	1.960000e+02	3.570060e-09	3.570060e-09	3.570060e-09
1.960000e+02	1.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop3
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.520000e+02	2.386993e-06	9.021984e-07	9.021984e-07
1.520000e+02	1.540000e+02	4.432986e-06	1.229489e-06	1.229489e-06
1.540000e+02	1.560000e+02	3.068991e-06	1.022997e-06	1.022997e-06
1.560000e+02	1.580000e+02	5.114985e-06	1.320683e-06	1.320683e-06
1.580000e+02	1.600000e+02	4.432986e-06	1.229489e-06	1.229489e-06
1.600000e+02	1.620000e+02	9.206970e-06	1.771882e-06	1.771882e-06
1.620000e+02	1.640000e+02	1.432195e-05	2.209926e-06	2.209926e-06
1.640000e+02	1.660000e+02	2.830291e-05	3.106648e-06	3.106648e-06
1.660000e+02	1.680000e+02	3.750988e-05	3.576427e-06	3.576427e-06
1.680000e+02	1.700000e+02	1.292386e-04	6.638541e-06	6.638541e-06
1.700000e+02	1.720000e+02	7.420135e-04	1.590678e-05	1.590678e-05
1.720000e+02	1.740000e+02	1.926303e-03	2.562942e-05	2.562942e-05
1.740000e+02	1.760000e+02	2.860981e-04	9.877204e-06	9.877204e-06
1.760000e+02	1.780000e+02	9.070570e-05	5.561524e-06	5.561524e-06
1.780000e+02	1.800000e+02	4.228387e-05	3.797203e-06	3.797203e-06
1.800000e+02	1.820000e+02	2.625692e-05	2.992253e-06	2.992253e-06
1.820000e+02	1.840000e+02	1.670895e-05	2.386992e-06	2.386992e-06
1.840000e+02	1.860000e+02	1.329896e-05	2.129538e-06	2.129538e-06
1.860000e+02	1.880000e+02	7.160980e-06	1.562653e-06	1.562653e-06
1.880000e+02	1.900000e+02	7.842975e-06	1.635373e-06	1.635373e-06
1.900000e+02	1.920000e+02	6.478980e-06	1.486380e-06	1.486380e-06
1.920000e+02	1.940000e+02	4.773985e-06	1.275901e-06	1.275901e-06
1.940000e+02	1.960000e+02	2.045994e-06	8.352733e-07	8.352733e-07
1.960000e+02	1.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

