# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100012_13000GeV_128282/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100012_13000GeV_128282/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100012_13000GeV_128282/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100012_13000GeV_128282/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100012_13000GeV_128282/Rivet.yoda.gz/tttt_ttH/Inclusive_pT_H
ScaledBy=9.99999999999951665e-05
Title=ttH(tt) 2.2 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	2.078904e-08	1.675229e-09	1.675229e-09
4.000000e+01	8.000000e+01	5.656237e-08	2.763253e-09	2.763253e-09
8.000000e+01	1.200000e+02	9.017583e-08	3.489008e-09	3.489008e-09
1.200000e+02	1.600000e+02	1.081300e-07	3.820586e-09	3.820586e-09
1.600000e+02	2.000000e+02	1.077250e-07	3.813424e-09	3.813424e-09
2.000000e+02	2.400000e+02	1.094799e-07	3.844360e-09	3.844360e-09
2.400000e+02	2.800000e+02	1.040802e-07	3.748356e-09	3.748356e-09
2.800000e+02	3.200000e+02	9.557558e-08	3.591950e-09	3.591950e-09
3.200000e+02	3.600000e+02	7.910635e-08	3.267853e-09	3.267853e-09
3.600000e+02	4.000000e+02	7.316662e-08	3.142775e-09	3.142775e-09
4.000000e+02	4.400000e+02	5.710235e-08	2.776412e-09	2.776412e-09
4.400000e+02	4.800000e+02	5.156763e-08	2.638429e-09	2.638429e-09
4.800000e+02	5.200000e+02	4.670785e-08	2.511029e-09	2.511029e-09
5.200000e+02	5.600000e+02	3.968817e-08	2.314661e-09	2.314661e-09
5.600000e+02	6.000000e+02	2.699875e-08	1.909100e-09	1.909100e-09
6.000000e+02	6.400000e+02	2.375890e-08	1.790895e-09	1.790895e-09
6.400000e+02	6.800000e+02	1.700921e-08	1.515301e-09	1.515301e-09
6.800000e+02	7.200000e+02	1.457932e-08	1.402896e-09	1.402896e-09
7.200000e+02	7.600000e+02	1.268941e-08	1.308813e-09	1.308813e-09
7.600000e+02	8.000000e+02	1.066451e-08	1.199851e-09	1.199851e-09
8.000000e+02	8.400000e+02	9.854545e-09	1.153387e-09	1.153387e-09
8.400000e+02	8.800000e+02	5.804732e-09	8.852133e-10	8.852133e-10
8.800000e+02	9.200000e+02	5.939725e-09	8.954472e-10	8.954472e-10
9.200000e+02	9.600000e+02	4.184807e-09	7.516134e-10	7.516134e-10
9.600000e+02	1.000000e+03	4.994770e-09	8.211349e-10	8.211349e-10
# END HISTO1D


