# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100013_13000GeV_353521/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
ScaledBy=1.00000000000023220e-04
Title=ttH(tt) 2.3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	8.467667e-08	3.414492e-09	3.414492e-09
3.000000e+01	6.000000e+01	1.514542e-07	4.566516e-09	4.566516e-09
6.000000e+01	9.000000e+01	1.021627e-07	3.750513e-09	3.750513e-09
9.000000e+01	1.200000e+02	6.787900e-08	3.057117e-09	3.057117e-09
1.200000e+02	1.500000e+02	4.956683e-08	2.612401e-09	2.612401e-09
1.500000e+02	1.800000e+02	3.455910e-08	2.181350e-09	2.181350e-09
1.800000e+02	2.100000e+02	2.850092e-08	1.980951e-09	1.980951e-09
2.100000e+02	2.400000e+02	2.299350e-08	1.779290e-09	1.779290e-09
2.400000e+02	2.700000e+02	1.693533e-08	1.527008e-09	1.527008e-09
2.700000e+02	3.000000e+02	1.431930e-08	1.404123e-09	1.404123e-09
3.000000e+02	3.300000e+02	1.390625e-08	1.383723e-09	1.383723e-09
3.300000e+02	3.600000e+02	1.142791e-08	1.254376e-09	1.254376e-09
3.600000e+02	3.900000e+02	8.536510e-09	1.084138e-09	1.084138e-09
3.900000e+02	4.200000e+02	8.261137e-09	1.066508e-09	1.066508e-09
4.200000e+02	4.500000e+02	6.471223e-09	9.439251e-10	9.439251e-10
4.500000e+02	4.800000e+02	5.232053e-09	8.487512e-10	8.487512e-10
4.800000e+02	5.100000e+02	3.579827e-09	7.020616e-10	7.020616e-10
5.100000e+02	5.400000e+02	4.405940e-09	7.788675e-10	7.788675e-10
5.400000e+02	5.700000e+02	3.166769e-09	6.603170e-10	6.603170e-10
5.700000e+02	6.000000e+02	3.029084e-09	6.458029e-10	6.458029e-10
6.000000e+02	6.300000e+02	2.478341e-09	5.841507e-10	5.841507e-10
6.300000e+02	6.600000e+02	9.637993e-10	3.642819e-10	3.642819e-10
6.600000e+02	6.900000e+02	1.652227e-09	4.769570e-10	4.769570e-10
6.900000e+02	7.200000e+02	9.637993e-10	3.642819e-10	3.642819e-10
7.200000e+02	7.500000e+02	1.514542e-09	4.566516e-10	4.566516e-10
7.500000e+02	7.800000e+02	8.261137e-10	3.372595e-10	3.372595e-10
7.800000e+02	8.100000e+02	8.261137e-10	3.372595e-10	3.372595e-10
8.100000e+02	8.400000e+02	5.507423e-10	2.753712e-10	2.753712e-10
8.400000e+02	8.700000e+02	5.507423e-10	2.753712e-10	2.753712e-10
8.700000e+02	9.000000e+02	1.376856e-10	1.376856e-10	1.376856e-10
9.000000e+02	9.300000e+02	4.130570e-10	2.384785e-10	2.384785e-10
9.300000e+02	9.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+02	9.900000e+02	1.376856e-10	1.376856e-10	1.376856e-10
9.900000e+02	1.020000e+03	1.376856e-10	1.376856e-10	1.376856e-10
1.020000e+03	1.050000e+03	1.376856e-10	1.376856e-10	1.376856e-10
1.050000e+03	1.080000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+03	1.110000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+03	1.140000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+03	1.170000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+03	1.200000e+03	1.376856e-10	1.376856e-10	1.376856e-10
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e0Pt_15GeV_2
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	1.623155e-05	6.074505e-07	6.074505e-07
3.000000e+01	6.000000e+01	2.712078e-05	7.852030e-07	7.852030e-07
6.000000e+01	9.000000e+01	1.564048e-05	5.962879e-07	5.962879e-07
9.000000e+01	1.200000e+02	8.661373e-06	4.437355e-07	4.437355e-07
1.200000e+02	1.500000e+02	5.024050e-06	3.379543e-07	3.379543e-07
1.500000e+02	1.800000e+02	2.955324e-06	2.591991e-07	2.591991e-07
1.800000e+02	2.100000e+02	2.273326e-06	2.273326e-07	2.273326e-07
2.100000e+02	2.400000e+02	1.159396e-06	1.623480e-07	1.623480e-07
2.400000e+02	2.700000e+02	6.819980e-07	1.245152e-07	1.245152e-07
2.700000e+02	3.000000e+02	3.637323e-07	9.093305e-08	9.093305e-08
3.000000e+02	3.300000e+02	2.727991e-07	7.875033e-08	7.875033e-08
3.300000e+02	3.600000e+02	1.818661e-07	6.429938e-08	6.429938e-08
3.600000e+02	3.900000e+02	1.363996e-07	5.568489e-08	5.568489e-08
3.900000e+02	4.200000e+02	4.546653e-08	3.214969e-08	3.214969e-08
4.200000e+02	4.500000e+02	6.819980e-08	3.937516e-08	3.937516e-08
4.500000e+02	4.800000e+02	4.546653e-08	3.214969e-08	3.214969e-08
4.800000e+02	5.100000e+02	4.546653e-08	3.214969e-08	3.214969e-08
5.100000e+02	5.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+02	5.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	4.546653e-08	3.214969e-08	3.214969e-08
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+02	9.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+02	9.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+02	9.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+02	1.020000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+03	1.050000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+03	1.080000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+03	1.110000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+03	1.140000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+03	1.170000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+03	1.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

