# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100017_13000GeV_121309/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ScaledBy=3.72995151063002157e-04
Title=ttH(tt) 2.7 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	3.724260e-09	6.583625e-10	6.583625e-10
1.000000e+02	1.500000e+02	1.606088e-08	1.367192e-09	1.367192e-09
1.500000e+02	2.000000e+02	2.641898e-08	1.753489e-09	1.753489e-09
2.000000e+02	2.500000e+02	2.606982e-08	1.741864e-09	1.741864e-09
2.500000e+02	3.000000e+02	2.059982e-08	1.548377e-09	1.548377e-09
3.000000e+02	3.500000e+02	1.524619e-08	1.332066e-09	1.332066e-09
3.500000e+02	4.000000e+02	1.338406e-08	1.248070e-09	1.248070e-09
4.000000e+02	4.500000e+02	1.315130e-08	1.237170e-09	1.237170e-09
4.500000e+02	5.000000e+02	1.117278e-08	1.140317e-09	1.140317e-09
5.000000e+02	5.500000e+02	1.117278e-08	1.140317e-09	1.140317e-09
5.500000e+02	6.000000e+02	9.892568e-09	1.073000e-09	1.073000e-09
6.000000e+02	6.500000e+02	8.961502e-09	1.021258e-09	1.021258e-09
6.500000e+02	7.000000e+02	9.776186e-09	1.066669e-09	1.066669e-09
7.000000e+02	7.500000e+02	9.194270e-09	1.034436e-09	1.034436e-09
7.500000e+02	8.000000e+02	7.564906e-09	9.383110e-10	9.383110e-10
8.000000e+02	8.500000e+02	8.146820e-09	9.737314e-10	9.737314e-10
8.500000e+02	9.000000e+02	8.845120e-09	1.014605e-09	1.014605e-09
9.000000e+02	9.500000e+02	1.175470e-08	1.169636e-09	1.169636e-09
9.500000e+02	1.000000e+03	7.681288e-09	9.455011e-10	9.455011e-10
1.000000e+03	1.050000e+03	8.030438e-09	9.667511e-10	9.667511e-10
1.050000e+03	1.100000e+03	8.495970e-09	9.943782e-10	9.943782e-10
1.100000e+03	1.150000e+03	9.077886e-09	1.027868e-09	1.027868e-09
1.150000e+03	1.200000e+03	8.728736e-09	1.007908e-09	1.007908e-09
1.200000e+03	1.250000e+03	1.024172e-08	1.091771e-09	1.091771e-09
1.250000e+03	1.300000e+03	5.237242e-09	7.807220e-10	7.807220e-10
1.300000e+03	1.350000e+03	5.935540e-09	8.311419e-10	8.311419e-10
1.350000e+03	1.400000e+03	4.888092e-09	7.542490e-10	7.542490e-10
1.400000e+03	1.450000e+03	3.025962e-09	5.934400e-10	5.934400e-10
1.450000e+03	1.500000e+03	3.607878e-09	6.479941e-10	6.479941e-10
1.500000e+03	1.550000e+03	1.629364e-09	4.354659e-10	4.354659e-10
1.550000e+03	1.600000e+03	1.745747e-09	4.507500e-10	4.507500e-10
1.600000e+03	1.650000e+03	6.982990e-10	2.850794e-10	2.850794e-10
1.650000e+03	1.700000e+03	5.819158e-10	2.602407e-10	2.602407e-10
1.700000e+03	1.750000e+03	3.491494e-10	2.015815e-10	2.015815e-10
1.750000e+03	1.800000e+03	2.327664e-10	1.645906e-10	1.645906e-10
1.800000e+03	1.850000e+03	1.163832e-10	1.163832e-10	1.163832e-10
1.850000e+03	1.900000e+03	1.163832e-10	1.163832e-10	1.163832e-10
1.900000e+03	1.950000e+03	1.163832e-10	1.163832e-10	1.163832e-10
1.950000e+03	2.000000e+03	1.163832e-10	1.163832e-10	1.163832e-10
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_jet0Pt_2
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+01	4.091988e-08	2.362510e-08	2.362510e-08
5.000000e+01	1.000000e+02	7.201898e-06	3.134223e-07	3.134223e-07
