# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ScaledBy=9.99999999999853681e-05
Title=ttH(tt) 2.8 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	9.015084e-08	1.502514e-08	1.502514e-08
-2.000000e+00	-1.500000e+00	3.906536e-07	3.127732e-08	3.127732e-08
-1.500000e+00	-1.000000e+00	9.991718e-07	5.002115e-08	5.002115e-08
-1.000000e+00	-5.000000e-01	1.985823e-06	7.051862e-08	7.051862e-08
-5.000000e-01	0.000000e+00	2.669466e-06	8.176094e-08	8.176094e-08
0.000000e+00	5.000000e-01	2.854776e-06	8.455117e-08	8.455117e-08
5.000000e-01	1.000000e+00	2.068460e-06	7.197097e-08	7.197097e-08
1.000000e+00	1.500000e+00	9.866508e-07	4.970675e-08	4.970675e-08
1.500000e+00	2.000000e+00	3.631076e-07	3.015444e-08	3.015444e-08
2.000000e+00	2.500000e+00	8.263826e-08	1.438547e-08	1.438547e-08
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_jet0Eta
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	7.229178e-05	9.930039e-06	9.930039e-06
-2.000000e+00	-1.500000e+00	2.250592e-04	1.752084e-05	1.752084e-05
-1.500000e+00	-1.000000e+00	4.896744e-04	2.584403e-05	2.584403e-05
-1.000000e+00	-5.000000e-01	6.574460e-04	2.994584e-05	2.994584e-05
-5.000000e-01	0.000000e+00	8.088494e-04	3.321547e-05	3.321547e-05
0.000000e+00	5.000000e-01	8.606812e-04	3.426318e-05	3.426318e-05
5.000000e-01	1.000000e+00	7.501976e-04	3.198854e-05	3.198854e-05
1.000000e+00	1.500000e+00	4.692146e-04	2.529836e-05	2.529836e-05
1.500000e+00	2.000000e+00	2.414272e-04	1.814678e-05	1.814678e-05
2.000000e+00	2.500000e+00	7.774776e-05	1.029794e-05	1.029794e-05
# END HISTO1D

