# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100018_13000GeV_257144/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
ScaledBy=9.99999999999853681e-05
Title=ttH(tt) 2.8 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	7.011732e-08	1.325093e-08	1.325093e-08
-2.000000e+00	-1.500000e+00	1.252095e-07	1.770730e-08	1.770730e-08
-1.500000e+00	-1.000000e+00	2.604358e-07	2.553782e-08	2.553782e-08
-1.000000e+00	-5.000000e-01	2.804692e-07	2.650186e-08	2.650186e-08
-5.000000e-01	0.000000e+00	3.155280e-07	2.810946e-08	2.810946e-08
0.000000e+00	5.000000e-01	3.230404e-07	2.844213e-08	2.844213e-08
5.000000e-01	1.000000e+00	2.754608e-07	2.626417e-08	2.626417e-08
1.000000e+00	1.500000e+00	1.953268e-07	2.211640e-08	2.211640e-08
1.500000e+00	2.000000e+00	1.252095e-07	1.770730e-08	1.770730e-08
2.000000e+00	2.500000e+00	5.509218e-08	1.174569e-08	1.174569e-08
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_e1Eta_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.000000e+00	1.363996e-05	4.313333e-06	4.313333e-06
-2.000000e+00	-1.500000e+00	6.274380e-05	9.251069e-06	9.251069e-06
-1.500000e+00	-1.000000e+00	1.050277e-04	1.196901e-05	1.196901e-05
-1.000000e+00	-5.000000e-01	1.050277e-04	1.196901e-05	1.196901e-05
-5.000000e-01	0.000000e+00	1.063917e-04	1.204648e-05	1.204648e-05
0.000000e+00	5.000000e-01	1.391276e-04	1.377568e-05	1.377568e-05
5.000000e-01	1.000000e+00	1.268516e-04	1.315390e-05	1.315390e-05
1.000000e+00	1.500000e+00	8.456774e-05	1.074011e-05	1.074011e-05
1.500000e+00	2.000000e+00	5.728782e-05	8.839704e-06	8.839704e-06
2.000000e+00	2.500000e+00	2.318792e-05	5.623898e-06	5.623898e-06
# END HISTO1D

