# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop1
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.520000e+02	3.163154e-09	3.163154e-09	3.163154e-09
1.520000e+02	1.540000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.540000e+02	1.560000e+02	6.326310e-09	4.473375e-09	4.473375e-09
1.560000e+02	1.580000e+02	3.163154e-09	3.163154e-09	3.163154e-09
1.580000e+02	1.600000e+02	1.265262e-08	6.326308e-09	6.326308e-09
1.600000e+02	1.620000e+02	9.489460e-09	5.478743e-09	5.478743e-09
1.620000e+02	1.640000e+02	2.214208e-08	8.368919e-09	8.368919e-09
1.640000e+02	1.660000e+02	2.846839e-08	9.489461e-09	9.489461e-09
1.660000e+02	1.680000e+02	5.377360e-08	1.304202e-08	1.304202e-08
1.680000e+02	1.700000e+02	2.245839e-07	2.665321e-08	2.665321e-08
1.700000e+02	1.720000e+02	1.736571e-06	7.411506e-08	7.411506e-08
1.720000e+02	1.740000e+02	1.610045e-06	7.136400e-08	7.136400e-08
1.740000e+02	1.760000e+02	2.403997e-07	2.757574e-08	2.757574e-08
1.760000e+02	1.780000e+02	1.138735e-07	1.897892e-08	1.897892e-08
1.780000e+02	1.800000e+02	4.744731e-08	1.225084e-08	1.225084e-08
1.800000e+02	1.820000e+02	2.530523e-08	8.946751e-09	8.946751e-09
1.820000e+02	1.840000e+02	1.581577e-08	7.073026e-09	7.073026e-09
1.840000e+02	1.860000e+02	1.581577e-08	7.073026e-09	7.073026e-09
1.860000e+02	1.880000e+02	1.265262e-08	6.326308e-09	6.326308e-09
1.880000e+02	1.900000e+02	9.489460e-09	5.478743e-09	5.478743e-09
