# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH/Inclusive_mTop2_zoomin
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
1.650000e+02	1.652500e+02	5.061048e-08	3.578700e-08	3.578700e-08
1.652500e+02	1.655000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.655000e+02	1.657500e+02	2.530523e-08	2.530523e-08	2.530523e-08
1.657500e+02	1.660000e+02	7.591568e-08	4.382994e-08	4.382994e-08
1.660000e+02	1.662500e+02	2.530523e-08	2.530523e-08	2.530523e-08
1.662500e+02	1.665000e+02	5.061048e-08	3.578700e-08	3.578700e-08
1.665000e+02	1.667500e+02	2.530523e-08	2.530523e-08	2.530523e-08
1.667500e+02	1.670000e+02	1.012209e-07	5.061047e-08	5.061047e-08
1.670000e+02	1.672500e+02	5.061048e-08	3.578700e-08	3.578700e-08
1.672500e+02	1.675000e+02	5.061048e-08	3.578700e-08	3.578700e-08
1.675000e+02	1.677500e+02	7.591568e-08	4.382994e-08	4.382994e-08
1.677500e+02	1.680000e+02	1.012209e-07	5.061047e-08	5.061047e-08
1.680000e+02	1.682500e+02	1.012209e-07	5.061047e-08	5.061047e-08
1.682500e+02	1.685000e+02	1.265262e-07	5.658421e-08	5.658421e-08
1.685000e+02	1.687500e+02	1.265262e-07	5.658421e-08	5.658421e-08
1.687500e+02	1.690000e+02	1.265262e-07	5.658421e-08	5.658421e-08
1.690000e+02	1.692500e+02	2.024418e-07	7.157401e-08	7.157401e-08
1.692500e+02	1.695000e+02	3.542732e-07	9.468351e-08	9.468351e-08
1.695000e+02	1.697500e+02	2.530523e-07	8.002217e-08	8.002217e-08
1.697500e+02	1.700000e+02	3.795785e-07	9.800673e-08	9.800673e-08
1.700000e+02	1.702500e+02	5.314100e-07	1.159631e-07	1.159631e-07
