# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	6.000000e+02	2.530523e-10	8.946751e-11	8.946751e-11
6.000000e+02	8.000000e+02	1.423419e-09	2.121908e-10	2.121908e-10
8.000000e+02	1.000000e+03	2.467260e-09	2.793622e-10	2.793622e-10
1.000000e+03	1.200000e+03	1.992787e-09	2.510676e-10	2.510676e-10
1.200000e+03	1.400000e+03	2.562155e-09	2.846839e-10	2.846839e-10
1.400000e+03	1.600000e+03	1.613208e-09	2.258944e-10	2.258944e-10
1.600000e+03	1.800000e+03	1.107104e-09	1.871347e-10	1.871347e-10
1.800000e+03	2.000000e+03	1.296893e-09	2.025407e-10	2.025407e-10
2.000000e+03	2.200000e+03	1.075472e-09	1.844420e-10	1.844420e-10
2.200000e+03	2.400000e+03	1.170367e-09	1.924071e-10	1.924071e-10
2.400000e+03	2.600000e+03	1.012209e-09	1.789350e-10	1.789350e-10
2.600000e+03	2.800000e+03	9.489460e-10	1.732531e-10	1.732531e-10
2.800000e+03	3.000000e+03	1.170367e-09	1.924071e-10	1.924071e-10
3.000000e+03	3.200000e+03	7.591570e-10	1.549623e-10	1.549623e-10
3.200000e+03	3.400000e+03	1.360156e-09	2.074219e-10	2.074219e-10
3.400000e+03	3.600000e+03	5.693675e-10	1.342013e-10	1.342013e-10
3.600000e+03	3.800000e+03	3.479469e-10	1.049099e-10	1.049099e-10
3.800000e+03	4.000000e+03	9.489460e-11	5.478743e-11	5.478743e-11
4.000000e+03	4.200000e+03	1.581577e-10	7.073026e-11	7.073026e-11
4.200000e+03	4.400000e+03	9.489460e-11	5.478743e-11	5.478743e-11
4.400000e+03	4.600000e+03	9.489460e-11	5.478743e-11	5.478743e-11
4.600000e+03	4.800000e+03	3.163154e-11	3.163154e-11	3.163154e-11
4.800000e+03	5.000000e+03	1.265262e-10	6.326308e-11	6.326308e-11
5.000000e+03	5.200000e+03	6.326310e-11	4.473375e-11	4.473375e-11
5.200000e+03	5.400000e+03	3.163154e-11	3.163154e-11	3.163154e-11
5.400000e+03	5.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+03	5.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+03	6.000000e+03	3.163154e-11	3.163154e-11	3.163154e-11
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/BaselineSR_HT_3
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	4.432986e-08	1.229489e-08	1.229489e-08
4.000000e+02	6.000000e+02	1.087786e-06	6.090435e-08	6.090435e-08
6.000000e+02	8.000000e+02	2.929181e-06	9.994236e-08	9.994236e-08
8.000000e+02	1.000000e+03	3.055351e-06	1.020721e-07	1.020721e-07
1.000000e+03	1.200000e+03	1.797065e-06	7.828135e-08	7.828135e-08
