# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2 //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_HT_jets_2
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	4.000000e+02	2.530523e-10	8.946751e-11	8.946751e-11
4.000000e+02	6.000000e+02	2.403997e-09	2.757574e-10	2.757574e-10
6.000000e+02	8.000000e+02	5.155940e-09	4.038445e-10	4.038445e-10
8.000000e+02	1.000000e+03	4.017205e-09	3.564694e-10	3.564694e-10
1.000000e+03	1.200000e+03	4.365153e-09	3.715864e-10	3.715864e-10
1.200000e+03	1.400000e+03	4.048837e-09	3.578700e-10	3.578700e-10
1.400000e+03	1.600000e+03	2.815207e-09	2.984113e-10	2.984113e-10
1.600000e+03	1.800000e+03	2.530523e-09	2.829211e-10	2.829211e-10
1.800000e+03	2.000000e+03	2.562155e-09	2.846839e-10	2.846839e-10
2.000000e+03	2.200000e+03	2.087682e-09	2.569758e-10	2.569758e-10
2.200000e+03	2.400000e+03	2.024418e-09	2.530523e-10	2.530523e-10
2.400000e+03	2.600000e+03	1.992787e-09	2.510676e-10	2.510676e-10
2.600000e+03	2.800000e+03	1.486683e-09	2.168549e-10	2.168549e-10
2.800000e+03	3.000000e+03	1.676472e-09	2.302811e-10	2.302811e-10
3.000000e+03	3.200000e+03	1.423419e-09	2.121908e-10	2.121908e-10
3.200000e+03	3.400000e+03	1.170367e-09	1.924071e-10	1.924071e-10
3.400000e+03	3.600000e+03	4.112100e-10	1.140491e-10	1.140491e-10
3.600000e+03	3.800000e+03	5.061045e-10	1.265262e-10	1.265262e-10
3.800000e+03	4.000000e+03	1.897892e-10	7.748113e-11	7.748113e-11
4.000000e+03	4.200000e+03	2.846839e-10	9.489461e-11	9.489461e-11
4.200000e+03	4.400000e+03	2.530523e-10	8.946751e-11	8.946751e-11
4.400000e+03	4.600000e+03	9.489460e-11	5.478743e-11	5.478743e-11
4.600000e+03	4.800000e+03	1.265262e-10	6.326308e-11	6.326308e-11
4.800000e+03	5.000000e+03	3.163154e-11	3.163154e-11	3.163154e-11
5.000000e+03	5.200000e+03	3.163154e-11	3.163154e-11	3.163154e-11
5.200000e+03	5.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+03	5.600000e+03	3.163154e-11	3.163154e-11	3.163154e-11
5.600000e+03	5.800000e+03	3.163154e-11	3.163154e-11	3.163154e-11
5.800000e+03	6.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


