# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	1.813541e-08	2.765625e-09	2.765625e-09
1.500000e+01	3.000000e+01	4.470591e-08	4.342222e-09	4.342222e-09
3.000000e+01	4.500000e+01	4.428415e-08	4.321691e-09	4.321691e-09
4.500000e+01	6.000000e+01	5.103221e-08	4.639293e-09	4.639293e-09
6.000000e+01	7.500000e+01	3.837960e-08	4.023275e-09	4.023275e-09
7.500000e+01	9.000000e+01	2.867926e-08	3.477872e-09	3.477872e-09
9.000000e+01	1.050000e+02	2.952277e-08	3.528646e-09	3.528646e-09
1.050000e+02	1.200000e+02	2.488348e-08	3.239553e-09	3.239553e-09
1.200000e+02	1.350000e+02	2.066594e-08	2.952277e-09	2.952277e-09
1.350000e+02	1.500000e+02	1.560489e-08	2.565428e-09	2.565428e-09
1.500000e+02	1.650000e+02	1.518314e-08	2.530523e-09	2.530523e-09
1.650000e+02	1.800000e+02	9.700340e-09	2.022660e-09	2.022660e-09
1.800000e+02	1.950000e+02	1.602665e-08	2.599865e-09	2.599865e-09
1.950000e+02	2.100000e+02	1.391788e-08	2.422792e-09	2.422792e-09
2.100000e+02	2.250000e+02	8.013320e-09	1.838382e-09	1.838382e-09
2.250000e+02	2.400000e+02	5.904554e-09	1.578058e-09	1.578058e-09
2.400000e+02	2.550000e+02	5.904554e-09	1.578058e-09	1.578058e-09
2.550000e+02	2.700000e+02	4.639293e-09	1.398799e-09	1.398799e-09
2.700000e+02	2.850000e+02	5.904554e-09	1.578058e-09	1.578058e-09
2.850000e+02	3.000000e+02	8.013320e-09	1.838382e-09	1.838382e-09
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep0Pt
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	1.259423e-05	7.567137e-07	7.567137e-07
1.500000e+01	3.000000e+01	4.628492e-05	1.450660e-06	1.450660e-06
3.000000e+01	4.500000e+01	4.610305e-05	1.447807e-06	1.447807e-06
4.500000e+01	6.000000e+01	4.101081e-05	1.365510e-06	1.365510e-06
6.000000e+01	7.500000e+01	3.414536e-05	1.245982e-06	1.245982e-06
7.500000e+01	9.000000e+01	2.377899e-05	1.039783e-06	1.039783e-06
9.000000e+01	1.050000e+02	2.064180e-05	9.687678e-07	9.687678e-07
1.050000e+02	1.200000e+02	1.423102e-05	8.043849e-07	8.043849e-07
1.200000e+02	1.350000e+02	1.223049e-05	7.457065e-07	7.457065e-07
1.350000e+02	1.500000e+02	8.956907e-06	6.381531e-07	6.381531e-07
1.500000e+02	1.650000e+02	6.910913e-06	5.605489e-07	5.605489e-07
1.650000e+02	1.800000e+02	5.546916e-06	5.021942e-07	5.021942e-07
1.800000e+02	1.950000e+02	4.364786e-06	4.454791e-07	4.454791e-07
1.950000e+02	2.100000e+02	3.364523e-06	3.911178e-07	3.911178e-07
2.100000e+02	2.250000e+02	2.409726e-06	3.310013e-07	3.310013e-07
2.250000e+02	2.400000e+02	2.546125e-06	3.402403e-07	3.402403e-07
2.400000e+02	2.550000e+02	1.136663e-06	2.273326e-07	2.273326e-07
2.550000e+02	2.700000e+02	1.409462e-06	2.531469e-07	2.531469e-07
2.700000e+02	2.850000e+02	1.045730e-06	2.180497e-07	2.180497e-07
2.850000e+02	3.000000e+02	9.547973e-07	2.083538e-07	2.083538e-07
# END HISTO1D

