# BEGIN PLOT
LegendOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
DrawOnly=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
RatioPlotReference=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100020_13000GeV_261650/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
ScaledBy=7.53012048192797253e-04
Title=ttH(tt) 3 TeV
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	8.856830e-08	3.347567e-08	3.347567e-08
-3.000000e+00	-2.500000e+00	3.542732e-07	6.695136e-08	6.695136e-08
-2.500000e+00	-2.000000e+00	3.036628e-07	6.198490e-08	6.198490e-08
-2.000000e+00	-1.500000e+00	4.175364e-07	7.268375e-08	7.268375e-08
-1.500000e+00	-1.000000e+00	2.657050e-07	5.798157e-08	5.798157e-08
-1.000000e+00	-5.000000e-01	3.036628e-07	6.198490e-08	6.198490e-08
-5.000000e-01	0.000000e+00	3.289680e-07	6.451592e-08	6.451592e-08
0.000000e+00	5.000000e-01	3.795784e-07	6.930123e-08	6.930123e-08
5.000000e-01	1.000000e+00	5.061046e-07	8.002217e-08	8.002217e-08
1.000000e+00	1.500000e+00	2.024418e-07	5.061046e-08	5.061046e-08
1.500000e+00	2.000000e+00	3.542732e-07	6.695136e-08	6.695136e-08
2.000000e+00	2.500000e+00	4.554942e-07	7.591569e-08	7.591569e-08
2.500000e+00	3.000000e+00	3.163154e-07	6.326307e-08	6.326307e-08
3.000000e+00	3.500000e+00	1.644840e-07	4.561965e-08	4.561965e-08
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//nfs/dust/atlas/group/top/BS4Tops/r21/atlas-run3-multitops-bsm-joboptions/output/100022_13000GeV_353862/Rivet.yoda.gz/tttt_ttH_1LOS/Inclusive_lep1Phi_15GeV
ScaledBy=9.99999999999971859e-05
Title=SM tttt (LO)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.000000e+00	5.046784e-05	8.296862e-06	8.296862e-06
-3.000000e+00	-2.500000e+00	2.155114e-04	1.714516e-05	1.714516e-05
-2.500000e+00	-2.000000e+00	2.127834e-04	1.703630e-05	1.703630e-05
-2.000000e+00	-1.500000e+00	2.305152e-04	1.773194e-05	1.773194e-05
-1.500000e+00	-1.000000e+00	2.236952e-04	1.746767e-05	1.746767e-05
-1.000000e+00	-5.000000e-01	2.455192e-04	1.829992e-05	1.829992e-05
-5.000000e-01	0.000000e+00	2.291512e-04	1.767940e-05	1.767940e-05
0.000000e+00	5.000000e-01	2.496112e-04	1.845179e-05	1.845179e-05
5.000000e-01	1.000000e+00	2.182394e-04	1.725333e-05	1.725333e-05
1.000000e+00	1.500000e+00	2.100554e-04	1.692674e-05	1.692674e-05
1.500000e+00	2.000000e+00	2.236952e-04	1.746767e-05	1.746767e-05
2.000000e+00	2.500000e+00	2.305152e-04	1.773194e-05	1.773194e-05
2.500000e+00	3.000000e+00	2.127834e-04	1.703630e-05	1.703630e-05
3.000000e+00	3.500000e+00	4.501186e-05	7.835560e-06	7.835560e-06
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

